Brand,Model,Price,processor_brand,processor_tier,num_cores,num_threads,RAM,primary_storage_type,Storage,gpu_brand,gpu_type,display_size,OS
ultimus,Ultimus Neo NU14U3INT54BN Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/Win11 Home),22913,intel,core i3,2,4,8,SSD,256,intel,integrated,14.1,windows
lenovo,Lenovo Legion Slim 7 16IRH8 82Y3007QIN Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),185990,intel,core i9,14,20,16,SSD,1024,nvidia,dedicated,16,windows
dell,Dell Inspiron 7430 2023 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),99480,intel,core i7,10,12,16,SSD,1024,intel,integrated,14,windows
lenovo,Lenovo Legion Slim 5 16APH8 82Y90042IN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),128990,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,16,windows
lenovo,Lenovo Legion Slim 5 82Y9009KIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),113990,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,16,windows
hp,HP Victus 15-fb0158AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),51990,amd,ryzen 5,6,12,8,SSD,512,amd,dedicated,15.6,windows
lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101PBIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),51990,intel,core i5,4,8,8,SSD,512,nvidia,dedicated,15.6,windows
hp,HP Pavilion x360 14-ek1021TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),90689,intel,core i7,10,12,16,SSD,512,intel,integrated,14,windows
lenovo,Lenovo IdeaPad Gaming 3 15IAH7 82S9014LIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),69990,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,15.6,windows
lenovo,Lenovo S14 Gen 3 82TW001DIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),47990,intel,core i5,10,12,8,SSD,512,intel,integrated,14,windows
lenovo,Lenovo Yoga Pro 7 82Y700A2IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),100190,intel,core i7,14,20,16,SSD,1024,intel,integrated,14.5,windows
hp,HP 15-fc0027AU Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),40100,amd,ryzen 3,4,8,8,SSD,512,amd,integrated,15.6,windows
lenovo,Lenovo Legion Slim 5 16APH8 82Y9008MIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),137490,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,16,windows
lenovo,Lenovo ThinkBook 15 Gen 5 21JF0026MJ Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11),53990,amd,ryzen 7,8,16,16,SSD,512,amd,integrated,16,windows
acer,Acer Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),42990,intel,core i3,5,6,8,SSD,512,intel,integrated,15.6,windows
asus,Asus VivoBook 15 X515MA-BR022WS Laptop (Celeron N4020/ 8GB/ 512GB SSD/ Win11 Home),28190,intel,celeron,2,2,8,SSD,512,intel,integrated,15.6,windows
fujitsu,Fujitsu CH 4ZR1L82434 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),73990,intel,core i7,10,12,16,SSD,512,intel,integrated,13.3,windows
asus,Asus Vivobook 15X OLED M3504YA-LK752WS Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home),73463,amd,ryzen 7,8,16,16,SSD,1024,amd,integrated,15.6,windows
asus,Asus Vivobook 15 X1502ZA-EJ993WS Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),44990,intel,core i3,6,8,16,SSD,512,intel,integrated,15.6,windows
asus,Asus Vivobook 15 X1504ZA-NJ542WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),60379,intel,core i5,10,12,16,SSD,512,intel,integrated,15.6,windows
hp,HP Pavilion 15-eg3018TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),75890,intel,core i5,10,12,16,SSD,1024,intel,integrated,15.6,windows
hp,HP 15s-fq3066TU Laptop (Intel Celeron N4500/ 8GB/ 512GB SSD/ Win11 Home),27990,intel,celeron,2,2,8,SSD,512,intel,integrated,15.6,windows
lenovo,Lenovo Ideapad 3 15ITL06 82H803GUIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),37000,intel,core i3,2,4,8,SSD,512,intel,integrated,15.6,windows
lenovo,Lenovo IdeaPad Flex 5 82Y00053IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),88190,intel,core i7,10,12,16,SSD,512,intel,integrated,14,windows
lenovo,Lenovo IdeaPad 3 82H803HRIN Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),62990,intel,core i7,4,8,16,SSD,512,intel,integrated,15.6,windows
asus,Asus Vivobook Pro 15 M6500QC-HN751WS Laptop (AMD Ryzen 7 5800HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics),73990,amd,ryzen 7,8,16,16,SSD,1024,nvidia,dedicated,15.6,windows
asus,Asus Vivobook Pro 15 M6500QC-HN551WS Laptop (AMD Ryzen 5 5600HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics),69990,amd,ryzen 5,6,12,16,SSD,1024,nvidia,dedicated,15.6,windows
lenovo,Lenovo Ideapad Slim 5 82XE004QIN Laptop (AMD Ryzen 5 7530U/ 16 GB RAM/ 512 GB SSD/ Win 11),66389,amd,ryzen 5,6,12,16,SSD,512,amd,integrated,14,windows
hp,HP 250 G9 7N179PA Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),60999,intel,core i5,10,12,8,SSD,512,intel,integrated,15.6,windows
lenovo,Lenovo Ideapad Slim 5 82XF007CIN Laptop (13th Gen Core i5/ 16 GB RAM/ 1 TB SSD/ Win 11),71990,intel,core i5,12,16,16,SSD,1024,intel,integrated,16,windows
lenovo,Lenovo IdeaPad Slim 5i 83BG000DIN Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11),61859,intel,core i5,8,12,16,SSD,512,intel,integrated,16,windows
asus,Asus Vivobook 16X 2023 K3605ZC-MBN752WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),98990,intel,core i7,10,16,16,SSD,1024,nvidia,dedicated,16,windows
lenovo,Lenovo IdeaPad Slim 3 82RK00VVIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),36990,intel,core i3,6,8,8,SSD,512,intel,integrated,15.6,windows
dell,Dell Inspiron 3530 IN3530RW8JY001ORS1 Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11 Home),59990,intel,core i5,10,12,8,SSD,1024,intel,integrated,15.6,windows
acer,Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),56990,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,15.6,windows
acer,Acer Aspire 7 A715-76G NH.QMYSI.001 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),52990,intel,core i5,8,12,8,SSD,512,nvidia,dedicated,15.6,windows
asus,Asus TUF Gaming F15 90NR0GW1-M00F00 Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),90990,intel,core i7,14,20,16,SSD,1024,nvidia,dedicated,15.6,windows
asus,Asus Vivobook 16X 2023 K3605ZV-MBN741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),114990,intel,core i7,10,16,16,SSD,512,nvidia,dedicated,16,windows
asus,Asus Chromebook CX1400CKA-EK0257 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),16990,intel,celeron,2,2,4,SSD,64,intel,integrated,14,chrome
asus,Asus Chromebook CX1400FKA-EC0158 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),25751,intel,celeron,2,2,4,SSD,64,intel,integrated,14,chrome
asus,Asus Chromebook CX1400CKA-EK0335 Laptop (Celeron N4500/ 4GB/ 128GB eMMC/ Chrome OS),18990,intel,celeron,2,2,4,SSD,128,intel,integrated,14,chrome
asus,Asus Vivobook 16 2023 X1605ZAB-MB322WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),44639,intel,core i3,6,8,8,SSD,512,intel,integrated,16,windows
