Brand,Model,Price,processor_brand,processor_tier,num_cores,num_threads,RAM,primary_storage_type,Storage,gpu_brand,gpu_type,display_size,OS
msi,MSI Thin GF63 12VF-663IN Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),104990,intel,core i7,10,16,16,SSD,512,nvidia,dedicated,15.6,windows
msi,MSI Katana 17 B12VGK-672IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),149990,intel,core i7,10,16,16,SSD,1024,nvidia,dedicated,17.3,windows
msi,MSI Pulse 17 B13VGK-666IN Gaming Laptop (13th Gen Core i7/ 8GB/ 1TB SSD/ Win11 Home/ 8GB Graph),149990,intel,core i7,14,20,8,SSD,1024,nvidia,dedicated,17.3,windows
msi,MSI Katana 17 B12VFK-668IN Gaming Laptop (12th Gen Core i7/ 8GB/ 1TB SSD/ Win11 Home/ 8GB Graph),114990,intel,core i7,10,16,8,SSD,1024,nvidia,dedicated,17.3,windows
msi,MSI Thin GF63 11UCX-1497IN Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),55990,intel,core i5,6,12,8,SSD,512,nvidia,dedicated,15.6,windows
msi,MSI Thin GF63 11UCX-1496IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),58990,intel,core i5,6,12,16,SSD,512,nvidia,dedicated,15.6,windows
msi,MSI Thin GF63 11SC-1493IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),55990,intel,core i5,6,12,16,SSD,512,nvidia,dedicated,15.6,windows
msi,MSI Pulse 17 B13VGK-652IN Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),199990,intel,core i9,14,20,16,SSD,1024,nvidia,dedicated,17.3,windows
hp,HP Victus 15-fa1064TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),119400,intel,core i7,14,20,16,SSD,512,nvidia,dedicated,15.6,windows
hp,HP Victus  15-fa1060TX  Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),99999,intel,core i5,12,16,16,SSD,512,nvidia,dedicated,15.6,windows
lenovo,Lenovo Ideapad Slim 3 15ITL05 81X800N1IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),37500,intel,core i3,2,4,8,SSD,512,intel,integrated,15.6,windows
hp,HP Omen 16-u0023TX Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),239299,intel,core i9,24,32,32,SSD,1024,nvidia,dedicated,16.1,windows
hp,HP Omen 16-wf0052TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),132599,intel,core i5,14,20,16,SSD,512,nvidia,dedicated,16.1,windows
hp,HP Victus 15-fb0153AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),50999,amd,ryzen 5,6,12,8,SSD,512,amd,dedicated,15.6,windows
asus,Asus VivoBook 14 2023 X1404ZA-NK321WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),37588,intel,core i3,6,8,8,SSD,512,intel,integrated,14,windows
asus,Asus Vivobook 15 X1504ZA-NJ325WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),36990,intel,core i3,6,8,8,SSD,512,intel,integrated,15.6,windows
lenovo,Lenovo IdeaPad Slim 5 82XE004RIN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11),58990,amd,ryzen 5,6,12,16,SSD,512,amd,integrated,14,windows
hp,HP Envy x360 13-bf0141tu Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),105036,intel,core i7,10,12,16,SSD,512,intel,integrated,13.3,windows
lenovo,Lenovo IdeaPad Slim 3 82XQ008VIN Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11),43990,amd,ryzen 5,4,8,16,SSD,512,amd,integrated,15.6,windows
hp,HP Omen 16-wd0770TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),101800,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,16.1,windows
asus,Asus Vivobook 16X 2023 K3605ZC-MBN741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),94990,intel,core i7,10,16,16,SSD,512,nvidia,dedicated,16,windows
asus,Asus Vivobook Pro 15 M6500QFB-LK541WS Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),69990,amd,ryzen 5,6,12,16,SSD,512,nvidia,dedicated,15.6,windows
acer,Acer Predator 16 NH.QLUSI.005 Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),159990,intel,core i9,24,32,16,SSD,1024,nvidia,dedicated,16,windows
asus,Asus Vivobook Pro 15 M6500QFB-LK742WS Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),72990,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,15.6,windows
msi,MSI Prestige 16 A13UCX-250IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graphic),119990,intel,core i7,14,20,16,SSD,1024,nvidia,dedicated,16,windows
hp,HP Victus 15-fb0134AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),56490,amd,ryzen 5,6,12,16,SSD,512,amd,dedicated,15.6,windows
dell,Dell Inspiron 3520 IN3520KTMFJ001ORS1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),37281,intel,core i3,2,4,8,SSD,512,intel,integrated,15.6,windows
lenovo,Lenovo IdeaPad Slim 5 82XD003PIN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),69494,intel,core i5,8,12,16,SSD,512,intel,integrated,14,windows
asus,Asus VivoBook 15 X1500EA-EJ326WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),32790,intel,core i3,2,4,8,SSD,512,intel,integrated,15.6,windows
lenovo,Lenovo LOQ 15IRH8 82XV00F7IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),97990,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,15.6,windows
hp,HP Pavilion x360 14-ek1074TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),78100,intel,core i5,10,12,16,SSD,512,intel,integrated,14,windows
lenovo,Lenovo LOQ 15IRH8 82XV00F6IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),91490,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,15.6,windows
hp,HP 15s-fr2515TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),36790,intel,core i3,2,4,8,SSD,512,intel,integrated,15.6,windows
lenovo,Lenovo LOQ 15APH8 82XT004HIN 2023 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),88527,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,15.6,windows
asus,Asus Vivobook 15 X1502ZA-EJ545WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),59990,intel,core i5,10,12,16,SSD,512,intel,integrated,15.6,windows
msi,MSI Vector GP68HX 13VH-072IN Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 12GB Graph),299990,intel,core i9,24,32,32,SSD,1024,nvidia,dedicated,16,windows
lenovo,Lenovo LOQ 15APH8 82XT004JIN 2023 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),99990,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,15.6,windows
hp,HP Omen 16-wf0111TX Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),146990,intel,core i7,16,24,16,SSD,1024,nvidia,dedicated,16.1,windows
lenovo,Lenovo LOQ 15APH8 82XT009CIN 2023 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),109990,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,15.6,windows
hp,HP Omen 16-xf0059AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),123010,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,16,windows
asus,Asus Vivobook Go 15 E510MA-EJ001W Laptop (Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home),25990,intel,celeron,2,2,4,SSD,256,intel,integrated,15.6,windows
hp,HP Omen 16-wf0055TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),139990,intel,core i7,16,24,16,SSD,512,nvidia,dedicated,16.1,windows
acer,Acer Nitro 5 AN515-58 NH.QFHSI.008 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),67499,intel,core i5,8,12,8,SSD,512,nvidia,dedicated,15.6,windows
acer,Acer Aspire Lite AL15-51 2023 Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11),35990,amd,ryzen 5,6,12,8,SSD,512,amd,integrated,15.6,windows
lenovo,Lenovo Yoga Book 9i 2023 82YQ001DIN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),225190,intel,core i7,10,12,16,SSD,1024,intel,integrated,13.3,windows
hp,HP 255 G8 Laptop (AMD Athlon 3050U/ 4GB/ 256GB SSD/ Win11),22990,amd,other,2,2,4,SSD,256,amd,integrated,15.6,windows
dell,Dell Inspiron 5330 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),84490,intel,core i5,12,16,16,SSD,512,intel,integrated,13.3,windows
dell,Dell XPS 15 9530 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),257490,intel,core i7,14,20,16,SSD,1024,nvidia,dedicated,15.6,windows
dell,Dell Inspiron 5330 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),95990,intel,core i7,12,16,16,SSD,512,intel,integrated,13.3,windows
asus,Asus Vivobook 15 X1504ZA-NJ321WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),39390,intel,core i3,6,8,8,SSD,512,intel,integrated,15.6,windows
dell,Dell Inspiron 5518 D560667WIN9S Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 2GB Graph),60900,intel,core i5,4,8,16,SSD,512,nvidia,dedicated,15.6,windows
msi,MSI Prestige 14 Evo B12M-472IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),81990,intel,core i5,12,16,16,SSD,512,intel,integrated,14,windows
lenovo,Lenovo IdeaPad Slim 5i 82XF003DIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),89889,intel,core i7,14,20,16,SSD,512,intel,integrated,16,windows
dell,Dell Alienware X16 Gaming Laptop (13th Gen Core i9/ 32GB/ 2TB SSD/ Win 11/ 16GB Graph),454490,intel,core i9,14,20,32,SSD,2048,nvidia,dedicated,16,windows
dell,Dell Inspiron 5425 Laptop (AMD Ryzen 75825U/ 16GB/ 512GB SSD/ Win11) 84 votes,67890,amd,ryzen 7,8,16,16,SSD,512,amd,integrated,14,windows
dell,Dell Alienware X16 R1 2023 Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11/ 12GB Graph),323990,intel,core i9,24,32,32,SSD,1024,nvidia,dedicated,16,windows
dell,Dell Alienware m16 2023 Gaming Laptop (AMD Ryzen 7 7745HX/ 16GB/ 1TB SSD/ Win 11/ 8GB Graph),188990,amd,ryzen 7,8,16,16,SSD,1024,nvidia,dedicated,16,windows
msi,MSI Modern 15 B12M-613IN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),36990,intel,core i3,6,8,8,SSD,512,intel,integrated,15.6,windows
msi,MSI Creator Pro M16 B13VI-1273IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win 11/ 6GB Graph),159427,intel,core i7,14,20,16,SSD,1024,nvidia,dedicated,16,windows
msi,MSI Prestige 14H B12UCX-412IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/Win11 Home/ 4GB Graphic),89990,intel,core i5,12,16,16,SSD,512,nvidia,dedicated,14,windows
dell,Dell Alienware M18 R1 2023 Gaming Laptop (13th Gen Core i9/ 64GB/ 1TB SSD/ Win 11/ 16GB Graph),450990,intel,core i9,24,32,4,SSD,1024,nvidia,dedicated,18,windows
hp,HP 15s-fy5005TU Laptop (12th Gen Core i3/ 8GB/ 1TB SSD/ Win11 Home),43735,intel,core i3,6,8,8,SSD,1024,intel,integrated,15.6,windows
lenovo,Lenovo Yoga 6 83B2005TIN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),74990,amd,ryzen 5,6,12,16,SSD,512,amd,integrated,13.3,windows
asus,Asus Vivobook 16X 2023 K3605ZF-MBN543WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),64990,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,16,windows
asus,Asus Vivobook 16X 2023 K3605ZF-MBN741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),89000,intel,core i7,10,16,16,SSD,512,nvidia,dedicated,16,windows
lenovo,Lenovo IdeaPad Flex 5 82R900D9IN Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),64990,amd,ryzen 7,8,16,16,SSD,512,amd,integrated,14,windows
hp,HP 15s-fy5004TU Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),43400,intel,core i3,6,8,16,SSD,512,intel,integrated,15.6,windows
lenovo,Lenovo IdeaPad Slim 3 82XQ008GIN Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11),40590,amd,ryzen 5,4,8,8,SSD,512,amd,integrated,15.6,windows
asus,Asus Vivobook Pro 15 M6500QC-LK542WS Laptop (AMD R5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),70000,amd,ryzen 5,6,12,16,SSD,512,nvidia,dedicated,15.6,windows
asus,Asus ROG Zephyrus G16 2023 GU603ZU-N3023WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),141989,intel,core i7,14,20,16,SSD,1024,nvidia,dedicated,16,windows
lg,LG Gram 14 2023 14Z90R-G.CH54A2 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),98999,intel,core i5,12,16,16,SSD,512,intel,integrated,14,windows
dell,Dell Alienware m16 Gaming Laptop (AMD Ryzen 9 7845HX/ 32GB/ 2TB SSD/ Win 11/ 12GB Graph),299990,amd,ryzen 9,12,24,32,SSD,2048,nvidia,dedicated,16,windows
acer,Acer Nitro 16 AN16-41 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),129990,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,16,windows
lenovo,Lenovo IdeaPad Flex 5 82XX007KIN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),65990,amd,ryzen 5,6,12,16,SSD,512,amd,integrated,14,windows
acer,Acer Aspire 5 2023 A515-58M Gaming Laptop (13th Gen Core i7/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graphic),75499,intel,core i7,10,12,8,SSD,512,nvidia,dedicated,15.6,windows
hp,HP Chromebook x360 14a-ca0505TU Laptop (Intel Celeron N4120/ 4GB/ 64GB eMMC/ Chrome OS),25990,intel,celeron,4,4,4,HDD,64,intel,integrated,14,chrome
asus,Asus Vivobook Pro 15 M6500QC-LK742WS Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),76600,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,15.6,windows
hp,HP ZBook Firefly 16 G9 2023 Workstation PC Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 4GB Graphics),126800,intel,core i5,10,12,16,SSD,1024,nvidia,dedicated,16,windows
fujitsu,Fujitsu UH-X 4ZR1L12856 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),99990,intel,core i7,12,16,16,SSD,512,intel,integrated,14,windows
hp,HP 2023 ZBook Firefly 16 G9 WUXGA Workstation Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics),133269,intel,core i7,10,12,16,SSD,512,nvidia,dedicated,16,windows
acer,Acer Aspire Lite AL15-51 2023 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),41990,intel,core i5,4,8,16,SSD,512,intel,integrated,15.6,windows
hp,HP 15s-fq3073TU Laptop Intel Pentium Silver N6000/ 8GB/ 512GB SSD/ Win11 Home),32990,intel,pentium,4,4,8,SSD,512,intel,integrated,15.6,windows
hp,HP ZBook Firefly 16 G9 2023 Workstation Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics),120449,intel,core i5,10,12,16,SSD,512,nvidia,dedicated,16,windows
asus,Asus ROG Zephyrus G14 GA402NJ-L8094WS Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),129990,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,14,windows
lg,LG UltraPC 16 16U70R-G.AH56A2 Laptop (AMD Ryzen5-7530U/ 16GB/ 512GB SSD/ Win11),78299,amd,ryzen 5,6,12,16,SSD,512,amd,integrated,16,windows
hp,HP ZBook Studio G9 16 WUXGA Workstation Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),230060,intel,core i7,14,20,16,SSD,1024,nvidia,dedicated,16,windows
lenovo,Lenovo IdeaPad 1 82V6005CIN Laptop (Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home),24190,intel,celeron,2,2,4,SSD,256,intel,integrated,11.6,windows
lg,LG gram360 16 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),152499,intel,core i7,12,16,16,SSD,1024,intel,integrated,16,windows
hp,HP Chromebook 15a-nb0002TU Laptop ( Intel Core i3-N305/ 8GB/ 256GB SSD/ Chrome OS),50990,intel,core i3,8,8,8,SSD,256,intel,integrated,15.6,chrome
lg,LG Gram 14 2023 14Z90R-G.CH75A2 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),117899,intel,core i7,12,16,16,SSD,512,intel,integrated,14,windows
acer,Acer Nitro 5 AN515-58 UN.QFHSI.026 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),71990,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,15.6,windows
asus,Asus Vivobook 15 2023 X1504VA-NJ544WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),63990,intel,core i5,10,12,16,SSD,512,intel,integrated,15.6,windows
walker,Walker NU14A1 Laptop (Celeron N4020/ 4GB/ 128GB SSD / Win11 Home),15990,intel,celeron,2,2,4,SSD,128,intel,integrated,14.1,windows
hp,HP 255 G8 6E3Z0PA Laptop (Ryzen 3 3250U/ 8GB/512GB SSD/ Dos),23999,amd,ryzen 3,2,4,8,SSD,512,amd,integrated,15.6,dos
dell,Dell Inspiron 14 5430 2023 Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11),65500,intel,core i5,10,12,8,SSD,1024,intel,integrated,14,windows
dell,Dell Inspiron 2023 14 5430 Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),73990,intel,core i5,10,12,16,SSD,1024,intel,integrated,14,windows
hp,HP Omen 16-wd0990TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),97999,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,16.1,windows
lenovo,Lenovo S14 Gen 3 82TW001CIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),52990,intel,core i5,10,12,8,SSD,512,intel,integrated,14,windows
lenovo,Lenovo IdeaPad Gaming 3 15ACH6 82K2022YIN Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),62990,amd,ryzen 5,6,12,8,SSD,512,nvidia,dedicated,15.6,windows
msi,MSI Katana GF66 12UCOK 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),73990,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,15.6,windows
lenovo,Lenovo ThinkBook 15 21JF002CIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ DOS),32899,amd,ryzen 3,4,8,8,SSD,512,amd,integrated,15.6,dos
lenovo,Lenovo IdeaPad 1 14IGL7 82V6005EIN Laptop (Celeron Dual Core/ 8GB/ 256GB SSD/ Win11 Home),24990,intel,celeron,2,2,8,SSD,256,intel,integrated,14,windows
msi,MSI Thin GF63 11SC-1477IN Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),47990,intel,core i5,6,12,8,SSD,512,nvidia,dedicated,15.6,windows
asus,Asus Vivobook 15 OLED 2023 X1505VAU-LK543WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),73990,intel,core i5,10,12,16,SSD,512,intel,integrated,15.6,windows
asus,Asus Vivobook 16X 2023 K3605ZU-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),99990,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,16,windows
lenovo,Lenovo IdeaPad Gaming 3 82K101LHIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),52990,intel,core i5,4,8,16,SSD,512,nvidia,dedicated,15.6,windows
asus,Asus Vivobook 15 2023 X1504VA-NJ543WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),61990,intel,core i5,10,12,16,SSD,512,intel,integrated,15.6,windows
lenovo,Lenovo ThinkPad E14 21JRS00T00 Laptop (AMD Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11 Home),69345,amd,ryzen 5,6,12,8,SSD,512,amd,integrated,14,windows
lenovo,Lenovo IdeaPad Slim 3 2023 82X70033IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),44990,intel,core i3,5,6,8,SSD,512,intel,integrated,15.6,windows
hp,HP Envy x360 15-fe0028TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),96590,intel,core i5,10,12,16,SSD,512,intel,integrated,15.6,windows
hp,HP Envy x360 15-fe0027TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),87990,intel,core i5,10,12,16,SSD,512,intel,integrated,15.6,windows
hp,HP Envy x360 15-fh0016AU Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),86690,amd,ryzen 5,6,12,16,SSD,512,amd,integrated,15.6,windows
hp,HP Envy x360 15-fh0019AU Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),87690,amd,ryzen 7,8,16,16,SSD,512,amd,integrated,15.6,windows
hp,HP Envy x360 15-fh0015AU Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),78890,amd,ryzen 5,6,12,16,SSD,512,amd,integrated,15.6,windows
hp,HP Envy x360 15-ew0041TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),83990,intel,core i5,10,12,16,SSD,512,intel,integrated,15.6,windows
hp,HP 14-em0025AU Laptop (AMD Ryzen  3 7320U/ 8GB/ 512GB SSD/ Win11 Home),38990,amd,ryzen 3,4,8,8,SSD,512,amd,integrated,14,windows
hp,HP 14-em0027AU Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),50990,amd,ryzen 5,4,8,16,SSD,512,amd,integrated,14,windows
asus,Asus Vivobook 15 X1502ZA-EJ523WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),55990,intel,core i5,12,16,8,SSD,512,intel,integrated,15.6,windows
dell,Dell Vostro 15 3510 Laptop (11th Gen Core i3/ 8GB/ 1TB 256GB SSD/ Win11 Home),39290,intel,core i3,2,4,8,HDD,1024,intel,integrated,15.6,windows
hp,HP Pavilion Plus 14-eh1047TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11),107763,intel,core i7,14,20,16,SSD,512,intel,integrated,14,windows
dell,Dell Inspiron 7430 2 in 1 Laptop (13th Gen Core i3/ 8GB/ 1TB SSD/ Win11),59990,intel,core i3,6,8,8,SSD,1024,intel,integrated,14,windows
lenovo,Lenovo IdeaPad Gaming 3 82K2025LIN Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),72990,amd,ryzen 5,6,12,16,SSD,512,nvidia,dedicated,15.6,windows
lenovo,Lenovo ThinkPad E14 21JRS00U00 Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),56700,amd,ryzen 5,6,12,16,SSD,512,amd,integrated,14,windows
lenovo,Lenovo Thinkpad E15 21E6S05B00 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),65990,intel,core i5,10,12,8,SSD,512,intel,integrated,15.6,windows
lenovo,Lenovo Thinkbook 15 21DJ00EXIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),53990,intel,core i5,10,12,8,SSD,512,intel,integrated,15.6,windows
hp,HP Pavilion Plus 14-eh1022TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),78019,intel,core i5,12,16,16,SSD,512,intel,integrated,14,windows
acer,Acer Aspire Lite AL15-51 UN.431SI.252 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),30790,intel,core i3,2,4,8,SSD,512,intel,integrated,15.6,windows
lenovo,Lenovo IdeaPad Gaming 3 15ACH6 82K2025JIN Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),57390,amd,ryzen 5,6,12,8,SSD,512,nvidia,dedicated,15.6,windows
hp,HP Zbook Power G4-A 2023 ZHAN 99 Laptop (AMD Ryzen 5 6600H/ 16GB/ 1TB 512GB SSD/ Win11/ 4GB Graph),115706,amd,ryzen 5,6,12,16,HDD,1024,nvidia,dedicated,15.6,windows
dell,Dell Inspiron 3535 Laptop (AMD Ryzen R5-7520U/ 8GB/ 512GB SSD/ Win11),41808,amd,ryzen 5,4,8,8,SSD,512,amd,integrated,15.6,windows
hp,HP Envy 15-fe0030TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),109990,intel,core i7,10,12,16,SSD,512,intel,integrated,15.6,windows
hp,HP 14-hr0001AU Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),44990,amd,ryzen 5,4,8,8,SSD,512,amd,integrated,14,windows
hp,HP 14-gr0000TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),47990,intel,core i3,6,8,8,SSD,512,intel,integrated,14,windows
